Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist/Machine Learning Engineer - Top Secret Clearance,-1,"Job Description
An analytics and data solutions company that delivers customized solutions to clients, is seeking a qualified Data Scientist/Machine Learning Engineer with TS clearance to join their growing team.

Responsibiliies:
Lead developer of distributed machine learning for applications which seek to detectemerging threats, forecast behaviors, and optimize related courses of action. T
Leverage cloud services to feed multiple data sources into machine learning engines; coordinate the creation, validation, and use of models; integrate predictive results into application workflows; and support the interactions of userexperiences to meet customer requirements.
The developer will work within a broadersystem leveraging multiple distributed processing technologies like Spark, Knime, ElasticSearch, and Amazon Web Services. The developer will need to collaborate with data scientists, data integrators, application developers, and clients in driving innovation,communicating plans/possibilities, and overseeing delivery tasks on small agile teams.
Disseminating broad knowledge of analytics tools, applications and techniques. Develop applications which analyze data using descriptive, exploratory, predictive,explanatory, and prescriptive methods via automation using the latest machine learning, business intelligence, search, and intelligent data technologies.
Create and modify applications using Java, distributed processing, and web technologies as part of a broader development team.
Research, design, develop, analyze, and modify Cloud-based enterprise-wide systems and applications software.
Requirements
BS degree in CS, Statistics, Mathematics, Physics, Engineering, or similar appliedquantitative discipline
Experience in trouble-shooting very complex distributed environments, including following stack traces back to code and come up with a root cause
Experience with Extract, Transform, and Load (ETL) processes, preferable including
document parsing techniques and managing large data sets
Able to develop using at least Java, SQL, XML, and JSON although JavaScript,
Python, Scala, and R are desirable
Experience working with Web Services environments, languages, and formats,
especially RESTful APIs
Experience creating multi-step, multi-variate, time series forecasting models
Familiarity with distributed data processing architectures and frameworks, such as
Hadoop, Hive, Spark, SOLR, Elastic Search, Kafka, Impala, and Cassandra
Familiarity with Amazon Web Services (AWS), such as EMR, Glue, Athena, Lambda,
and S3
Experience with Qlik, Oracle BI, Knime, H20.ai, Celect, Informatica, or other
Business Intelligence (BI), and machine learning technologies a plus
Applied statistics or data science experience a plus",-1,Fawkes IDM,"Washington, DC",-1,-1,-1,-1,-1,-1,-1,-1
Front-End Development Engineer - Computer Vision,"$66K-$161K
(Glassdoor est.)","Are you interested in building state of the art and scalable data platform that will power AWS Machine Learning services making a lasting impact on society?

The AWS Computer Vision Data Platform team is expanding to New York City! We are looking for talented software development engineers who has the passion to tackles ambiguous and challenging problems by bringing cutting edge deep learning technologies to customer facing computer vision products like Amazon Rekognition (https://aws.amazon.com/rekognition/) and Amazon Textract (https://aws.amazon.com/textract/).

The mission of the AWS Computer Vision Data Platform team is to build an end to end data platform (data collection, selection/active learning, annotation and training) and feature specific annotation tooling to deliver high quality computer vision training datasets at scale. The team owns the systems and pipelines that enable data acquisition, ingestion, classification, visualization, annotation, training and evaluation and active learning.

In Front-end Software Engineer role, you will:
· Operate at all levels, diving deep into the details while providing strategic inputs for the product
· Design and build scalable UIs
· Partner with research team to innovate and solve Computer Vision problems using ML
· Lead small to midsize complex project from requirements through launch.
· Work closely with data scientists and UX designers to develop the best user experience designs and solutions
· Establish the best processes and drive improvements in design, development and operations.
· Mentor and guide junior engineers on design, coding, troubleshooting and operational excellence





Basic Qualifications

· Experience with object-oriented design
· 2+ years of professional non-internship experience with front end, web or mobile software development using JavaScript, HTML and CSS
· Bachelors degree in Computer Science or equivalent work experience
· 2+ years experience with web technologies, including HTML5, CSS 3.0 & JavaScript Libraries/Frameworks
· Proficiency in, at least, one modern programming language such as Java/Scala/Go/C#/Python on Unix/Linux.
· Experience in translating design mockups and prototypes into working applications
· Excellent communication skills, both written and verbal

Preferred Qualifications

· Masters degree in Computer Science or related field
· Strong problem solving and analytical abilities
· Experience with highly distributed systems with focus on the front-end stack development
· Experience with AWS technologies and frameworks.
· Experience developing software using modern frameworks such as AngularJS, React, Spring or Node
· Passion for usability and creating efficient, scalable user interfaces
· Excellent debugging and troubleshooting skills, with an enthusiastic attitude to support and resolve customer problems
· Demonstrated leadership abilities in driving operational excellence and software engineering best practices
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.9,"Amazon
3.9","New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart"
Sr. Software Engineer in Test (SET),-1,"LeapYear's secure machine learning platform is deployed by some of the largest enterprises in the world across finance, healthcare, and technology.

Our technology ensures differential privacy, a widely recognized standard of data privacy that enables all data - including sensitive information - to be utilized for analytics, while providing mathematically proven privacy protection.

The LeapYear system is composed of a core set of components that allow private machine learning on data sets that can scale to petabytes. The core includes private algorithms for relational operations, statistical methods and machine learning. A data scientist accesses private data using a Python API. The system includes services for authentication, access control, logging, auditing and support for integration of data from a variety of data sources including SQL/NoSQL Databases, HDFS and S3. Queries are processed using Spark to support to enable fast, distributed processing of massive datasets. Administration is provided via a web-based GUI or an API.

We are looking for a Senior Software Engineer in Test (SET), who will lead the testing of LeapYear products. The role will require testing functionality, scalability, performance and availability. All tests will be automated.

For details on the specific responsibilities and requirements of this role, please see below.
Responsibilities
Work closely with the development team to develop test plans.
Define and implement automation strategies for testing the functionality of LeapYear’s products.
Define and implement an automated framework for scale, performance and availability testing.
Be accountable for the full lifecycle of your code from design to deployment.
Mentor other members of the SET team.
Develop automated systems for tracking quality metrics.
Requirements
Experience testing complex distributed systems that require scalability, reliability and flexibility.
5+ years of professional experience.
At least 3 years of experience in automation and testing.
Proficiency in a programming language such as Python, Java, C, Golang, Scala etc.
BS/MS in Computer Science/Engineering or related discipline.
Excellent oral and written communication skills.
Experience with Continuous Integration/Continuous Deployment tools(e.g. CircleCI, Travis)
Experience with cloud platforms (AWS, Azure, or GCP).
Experience with SQL/NoSQL databases.
Ability to get up to speed quickly on new technologies such as Machine Learning, Spark, differential privacy.
Preferred
Experience with big data technologies like Spark and/or Hadoop.
Experience developing for on-premise enterprise deployments.
A Few of the Perks
Culture of teaching and learning
Competitive compensation package of salary and equity
Catered lunch every day
Company outings
Build your ideal work station
Generous health insurance plan
Relocation support and visa sponsorship",4.2,"LeapYear
4.2","San Francisco, CA","San Francisco, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Software Engineer - Tools & Cloud Infrastructure,-1,"Position Overview

Beyond Limits is seeking a software engineer to join our Tools & Cloud Infrastructure team to help work on dev ops and deployment. This team is responsible for building internal tools and systems focused on streamlining the release process. This team has a focus on efficiency, automation, and reliability. In this role, you will have the opportunity to work with modern cloud technologies and help to deploy next-generation AI software.

Job Duties/Responsibilities
Administer, monitor, and deploy systems and services on AWS cloud services
Automate processes using open source tools and custom Python code
Collaborate with engineers, data scientists, and other cross-functional teams
Develop highly repeatable processes and have a keen interest in automation
Minimum Qualifications
B.S. or M.S. in Computer Science or a related degree.
Minimum of 3+ years’ experience in AWS and related cloud technologies.
Experience working with Python, or a similar scripting language
Proficiency with automation in the areas of deployment, processes, operations
Must be well versed in generic administration tasks of managing Docker images, container networking and standard infrastructure maintenance tasks on Docker and Kubernetes.
You have a strong knowledge of the infrastructure and automation of CI/CD pipelines using Jenkins.
Experience with at least one configuration or provisioning tools, such as Terraform, Ansible, Puppet, or Chef
Desired Experience
Have the ability to set up and maintain monitoring, alerting and logging solution
Core understanding of computer science and software engineering fundamentals
Previous experience creating a reproducible infrastructure for production, staging and development environments with IaaS
About Beyond Limits

Beyond Limits is a pioneering Artificial Intelligence engineering company creating advanced software solutions that go beyond conventional AI. Founded in 2014 with a legacy in space exploration, Beyond Limits is transforming proven technologies from Caltech and NASA’s Jet Propulsion Laboratory into advanced AI solutions, hardened to industrial strength, and put to work for forward-looking companies on earth. We leverage this unparalleled innovation portfolio, along with proprietary cognitive technologies, to help companies solve tough, complex, mission-critical problems and transform their business. We apply a unique hybrid approach to AI, combining numeric AI techniques like machine learning with higher order symbolic AI and expert human knowledge to deliver intuitive cognitive reasoning and information. Our cognitive computing technology mimics human thought processes and provides explainable reasoning to aid human-like decision-making.

Beyond Limits provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Beyond Limits complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Beyond Limits expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Beyond Limit’s employees to perform their job duties may result in discipline up to and including discharge.",4.2,"Beyond Limits
4.2","Glendale, CA","Glendale, CA",51 to 200 employees,2014,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1
Machine Leaner Engineer,-1,"5+ years experience developing and deploying machine learning systems into production Strong experience working with a variety of relational SQL and NoSQL databases Strong experience working with big data tools Hadoop, Spark, Kafka, etc. Experience with at least one cloud provider solution (AWS, GCP, Azure) Strong experience with object-orientedobject function scripting languages Python, Java, C++, Scala, etc. Ability to work in a Linux environment Industry experience building and productionizing innovative end-to-end Machine Learning systems Ability to quickly prototype ideas and solve complex problems by adapting creative approaches Experience working with distributed systems, service oriented architectures and designing APIs Strong knowledge of data pipeline and workflow management tools Expertise in standard software engineering methodology, e.g. unit testing, test automation, continuous integration, code reviews, design documentation Relevant working experience with Docker and Kubernetes is a big plus Architect, build, maintain, and improve new and existing suite of algorithms and their underlying systems. Implement end-to-end solutions for batch and real-time algorithms along with requisite tooling around monitoring, logging, automated testing, performance testing and AB testing Utilize your entrepreneurial spirit to identify new opportunities to optimize business processes and improve consumer experiences, and prototype solutions to demonstrate value with a crawl, walk, run mindset. Work closely with data scientists and analysts to create and deploy new product features on the ecommerce website, in-store portals and the mobile app Establish scalable, efficient, automated processes for data analyses, model development, validation and implementation Write efficient and well-organized software to ship products in an iterative, continual-release environment Contribute to and promote good software engineering practices across the team Mentor and educate team members to adopt best practices in writing and maintaining production machine learning code Communicate clearly and effectively to technical and non-technical audiences equally well Actively contribute to and re-use community best practices",3.2,"s.com
3.2","San Francisco, CA","Pembroke Pines, FL",201 to 500 employees,1993,Company - Public,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
DATA ENGINEER,-1,"Job Overview

We are looking for a savvy Data Engineer to join our growing team of analytics experts. The hire will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives.

Responsibilities for Data Engineer:

- Create and maintain optimal data pipeline architecture,

- Assemble large, complex data sets that meet functional / non-functional business requirements.

- Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.

- Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS ‘big data’ technologies.

- Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.

- Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.

- Keep our data separated and secure across national boundaries through multiple data centers and AWS regions.

- Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.

- Work with data and analytics experts to strive for greater functionality in our data systems.

Qualifications for Data Engineer:

- Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.

- Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.

- Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.

- Strong analytic skills related to working with unstructured datasets.

- Build processes supporting data transformation, data structures, metadata, dependency and workload management.

- A successful history of manipulating, processing and extracting value from large disconnected datasets.

- Working knowledge of message queuing, stream processing and highly scalable ‘big data’ data stores.

- Strong project management and organizational skills.

- Experience supporting and working with cross-functional teams in a dynamic environment.

Knowledge, Skills, Abilities, and other Characteristics:

Qualifications:
5+ years of experience in a Data Engineer role, who has attained a Master’s degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field.
Industry-recognized certifications in data engineering, data architecture, informatics, machine learning, SQL
Experience with health care data, claim data, EMR systems (Meditech preferred), X.12 data formats, etc.
Experience with big data tools: Hadoop, Spark, Kafka, etc. (Preferred)
Experience with relational SQL and NoSQL databases, including Postgres and Cassandra.
Experience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc.
Experience with Microsoft and AWS cloud services: Azure, EC2, EMR, RDS, Redshift
Experience with stream-processing systems: Storm, Spark-Streaming, etc.
Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
Experience with statistical programming languages: R, Stata, SAS, etc.
Experience with architectural concepts and schemas: TOGAF, MITA, Star schema, etc.
Skilled in problem-solving with strong attention to detail.
Excellent customer service skills and the ability to react diplomatically and patiently to internal and external customers.
Excellent follow-up skills paired with the ability to multi-task and determine root causes.
Strong written and verbal communication skills coupled with the ability to read, analyze and interpret technical procedures.
Strong response time to phone calls, emails and customer requests.
Adhere to department policies and standards.
Ability to work independently under minimal supervision in stressful situations and meet deadlines.
Ability to prioritize, plan, and organize tasks based upon user requirements.
Ability to multi-manage multiple projects utilizing best practices based on departmental priorities.
Ability to multi-manage multiple projects utilizing best practices based on departmental priorities.
MINIMUM WORK EXPERIENCE:

Bachelors Degree, 5 years of relevant experience including leading projects or 8 years of relevant experience including leading projects and developing teams .

REQUIRED LICENSES, CERTIFICATES, REGISTRATIONS:

MCSE or equivalent is strongly desired but not required",3.0,"Sinai Health System
3.0","Chicago, IL","Chicago, IL",1001 to 5000 employees,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"Resurrection Health Care, UChicago Medicine"
SR Machine Learning Engineer,-1,"Glow Networks is seeking a Senior Machine Learning Engineer to lead complex ML and big data projects as part of our customers new Data Center and Networking AI Team in San Mateo, CA. You will have the opportunity to solve some of the hardest and most interesting technological challenges facing the industry today.

The Team

You will be joining a new team of world-class high-performing and low ego engineers and scientists that have an entrepreneurial and hacker spirit. The team will operate in a very self-driven, agile and fast-paced environment. The team operates by self-organizing, around shared values, vision and objectives.

Qualifications
5-7 years of experience as a software engineer building and shipping production quality code in C/C++, Java, Python, or similar language
Minimum of 2 years of experience working on big data problems (in terabytes) using technologies like Cassandra, Hadoop, and Spark
Experience working on data modeling, data pipelines, and building warehouses projects
Experience deploying machine learning models to production is a MUST
Experience designing and developing infrastructure for the full cycle of machine learning
Experience building container-based applications running in a microservice architecture on Kubernetes or serverless
Comfortable researching and reading research papers and implementing models
Comfortable experimenting with and incorporating cutting-edge techniques into our existing system, such as online learning, transfer learning, and few-shot learning
Deep understanding of model training, what affects performance (hyperparameters, data distribution, etc)
Ability to write an end-to-end pipeline code that is modular, scalable, and easy for future team members to build upon
Education
Masters Degree in computer science or engineering, desired
Bonus
Experience working on time interval problems
Experience with data analysis and visualization
Extract meaningful insights from the data and present to leadership
What would really impress us?

Any side projects or hobbies that have to do with AIML.",3.1,"Glow Networks
3.1","San Mateo, CA","Richardson, TX",51 to 200 employees,2003,Subsidiary or Business Segment,IT Services,Information Technology,$10 to $25 million (USD),-1
Data Scientist / Data Engineer,-1,"Company Background

We are an early stage start-up developing technology and data intelligence

underlying radically more efficient logistics businesses. Serving the $730bn US motor

freight market, Haulistix has been developed with the ambition to create a hyper growth

business. The company leverages the latest operations research, data and machine

intelligence at scale to have a real-life impact on the operational and financial

performance of hundreds of thousands of small and medium-sized trucking companies.

To achieve this, we pay equal attention to developing cutting-edge technology,

understanding real-life user behavior and creating innovative business models

Using machine intelligence, we arrange single truck loads from across the freight

market into highly profitable freight trips and sell them to small and medium-sized

trucking companies.

By doing this, we digitize the cognitively most challenging aspects of a motor

carriers' dispatch function and attack their tremendous inefficiency at one of its

root causes.

Unlike with simple load bookings directly through brokers or expensive software

solutions, we offer carriers and brokers access to cutting-edge technology whilst

materially improving their profitability one business transaction at a time.

Role

We are currently hiring Data Scientists and Data Engineers to become part of the

first ten employees of our company and core members of our early-stage team. Working

directly with the founders, the data scientists/engineers will be interfacing cross-

functionally with our technology development team, relevant academic advisers, our in-

house operations team as well as external contractors and select clients. Key focus of

our early-stage work will be on expanding the current algorithms to become a full-fledged

model architecture, core to the functioning of our business, including but not limited to

demand prediction, data-driven route optimization, pricing and revenue management

modeling, etc.

Responsibility

Building demand prediction models for future shipping orders (in terms of both

the volume and the price)

Integrating the demand prediction model with our current route optimization

model for truck drivers trip planning

Building real-time and stochastic models for the events of traffic delay,

warehouse loading delay, accidents, etc.

Working closely with our scientific advisors in developing state-of-the-art models

for routing planning, revenue management, and robust sequential decision

making.

Skills

Critical Skills

Currently has obtained, or is in the process of obtaining Masters or Ph.D. degree

in highly quantitative field (CS, mathematics, statistics, operations research) or

equivalent experience

Experience applying various machine learning techniques on large-scale

datasets in Python or R

Experience in data visualization and exploratory data analysis

Experience building optimization models and designing dynamic programming

algorithms for real-world problems

Development experience in at least one scripting language, Python, Perl, or R

Thrive in the environment of a start-up, have a bias for action and be a thoughtful

and highly dedicated contributor and collaborator,

Have superior communication skills.

Preferred Skills:

Experience in web crawling and scrapping that ensure data integrity and create

data pipelines

Experience in route optimization and revenue management

Understanding of the mathematical underpinnings of the learning and

optimization models and algorithms, such as algorithms for convex, linear,

integer programs and Markov Decision Processes/Reinforcement Learning.

Strong programming skills in Java / Javascript

Employment Type

Full-time.

We sponsor H1B visa for qualified candidates.

Haulistix Inc is an equal employment opportunity employer. We celebrate diversity. We
do not discriminate against employees or job applicants on the basis of race, culture,
color, national origin, sex, sexual orientation, gender identity, gender expression,
pregnancy, age, religion, marital status, height, weight, familial status, disability, military
service, genetic information, or any other category protected by federal, state or local law.

Powered by JazzHR",4.1,"IntelliPro Group Inc.
4.1","Redwood City, CA","Santa Clara, CA",201 to 500 employees,-1,Company - Private,-1,-1,$10 to $25 million (USD),-1
Sr. Data Scientist/Machine Learning Engineer – Manage and Analyze at Seal Software – a DocuSign Company,"$160K-$262K
(Glassdoor est.)","Sr. Data Scientist/Machine Learning Engineer – Manage and Analyze at Seal Software – a DocuSign Company
Engineering & Tech Operations | Walnut Creek, CA

Our agreement with employees
DocuSign is committed to building trust and making the world more-agreeable for our employees, customers and the communities in which we live and work. You can count on us to listen, be honest, and try our best to do what's right, every day. At DocuSign, everything is equal. We each have a responsibility to ensure every team member has an equal opportunity to succeed, to be heard, to exchange ideas openly, to build lasting relationships, and to do the work of their life. Best of all, you will be able to feel deep pride in the work you do, because your contribution helps us make the world better than we found it. And for that, you'll be loved by us, our customers, and the world in which we live.

The team
The Analyze and Manage team builds and operates industry-leading analytics products that utilize AI, machine learning and cutting-edge NLP to provide deep insights from procurement, derivative and other contracts to financial institutions, manufacturers and others. We are the worldwide leader in AI-driven contract analytics. The Machine Learning (ML) team's primary goal is to maintain and enhance the core analysis engine. In order to keep up with the rapidly evolving field of Natural Language Processing (NLP) and ML, certain time is allotted for research. This allows us to lead the trend of automating the contract analysis processes by testing and evaluating the latest ML technology and methods in an inhouse designed lab. As such, we hire people who are excited about working on a groundbreaking and technically challenging AI vision that will be one of DocuSign's key investments over the next 5 years.

This position
DocuSign is looking for a passionate, talented, and inventive machine learning engineer to help build industry-leading state of the art machine learning solutions. You will be leveraging data mining, deep learning, content understanding, image processing and more. You will integrate and deploy machine learning models that deliver more personalized and automated customer experiences.

This position is an Individual Contributor role and reports to an Engineering Lead.

Responsibilities
Feature extraction and data preparation
Algorithm development and evaluation of existing and emerging NLP/ML methods and technologies that could be effectively applied to contractual/legal data
Apply NLP techniques to maintain and extend the current rule-based, supervised and unsupervised models
Apply ML algorithms and technologies to NLP tasks such as Named Entity Recognition, POS tagging, Parsing, Sentiment Analysis, Clustering, etc.
Understanding of the entire software development end-to-end process as well as the product code and release management process
Understand, assist and improved the existing training data maintenance and enrichment process
Is ""hands-on"" and takes the initiative

Basic Qualifications
6+ years of experience in designing, developing, deploying and monitoring models, specifically in the context of text processing/NLP
Experience with Python programming, especially in the context of established deep learning frameworks.
Bachelor's degree in computer science, data science, applied mathematics, or an equally computational field

Preferred Qualifications
Experience with containerization and orchestration of machine learning models in production.
Masters or PhD in computer science, data science, machine learning, applied mathematics, or an equally computational field.
Demonstrated experience with text-based deep learning (NLP, NLU).
Demonstrated experience in extracting, cleansing, and manipulating large, diverse unstructured datasets.
Strong desire to stay ahead of industry trends & technologies with a commitment to continuous research and learning.

About us
DocuSign® helps organizations connect and automate how they prepare, sign, act on, and manage agreements. As part of the DocuSign Agreement Cloud, DocuSign offers eSignature: the world's #1 way to sign electronically on practically any device, from almost anywhere, at any time. Today, hundreds of thousands of customers and hundreds of millions of users in over 180 countries use DocuSign to accelerate the process of doing business and simplify people's lives. Plus, we save more trees together! And that's a good thing.

DocuSign is an Equal Opportunity Employer. DocuSign is committed to building a diverse team of talented individuals who bring different perspectives to the discussion and who feel a sense of inclusion and belonging when they join our team. Individuals seeking employment at DocuSign are considered without regards to race, ethnicity, color, age, sex, religion, national origin, ancestry, pregnancy, sexual orientation, gender identity, gender expression, genetic information, physical or mental disability, registered domestic partner status, caregiver status, marital status, veteran or military status, citizenship status, or any other legally protected category.
#LI-DS1",4.6,"DocuSign
4.6","Walnut Creek, CA","San Francisco, CA",5001 to 10000 employees,2003,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"EchoSign, Inc"
Senior Data Engineer,-1,"Job Description
Senior Data Engineer

Position Overview: From software hacking to hardware hacking, we help secure everything from cryptocurrency exchanges and space telescopes to autonomous vehicles and the electric grid. Today, our client is making significant investments in terms of financial and engineering resources to develop a radically new customer experience we call “Security-as-a-Service” to provide customers with a unified, efficient, and data-driven security platform. We they're looking to add the right individual to their growing team supporting the next wave of cybersecurity products and solutions.

As part of that investment, our client is seeking a seasoned Data Engineer with a successful track record in data engineering in a hyper growth company setting. You will have the opportunity to work with some of the best security engineers in the world who hail from organizations such as Amazon, CIA, Facebook, Google, Microsoft, NSA, Redhat, Sun Microsystems, and US Air Force. As an Inc. Best Places to Work, Inc. 500 | 5000, Cybersecurity 500, and Austin Fast 50 Award recipient, we are seeking an individual that understands the professional and personal growth attached to this opportunity and who has the corresponding internal drive to maximize it.

Career opportunity:
Join an industry with massive socio, economic, and political importance in the 21st century
Work alongside some of the best and the brightest minds in the security industry
Leave an indelible mark on a company where individual input has real impact
Be recognized, internally and publicly, for your contributions in a high profile position
Align your career trajectory with a hyper growth company that is on the move
Core responsibilities:
Create pipelines to ingest and maintain complex data sets into our client's data stores for use in machine learning models
Create tools to scour the internet to find important security information and ingest it into their infrastructure
Work with data scientists to create and maintain data ontologies for security
Create the roadmap of how to continually evolve the data engineering infrastructure and techniques to improve our client's ability to find security information
Mentor junior data engineers and teach them how to use data engineering techniques to solve real world problems
Communicate complex concepts to team members
Accountable for:
Creation of data engineering pipelines to find and ingest security vulnerabilities
Creation of data engineering tools to help label and validate data
Required qualifications:
At least 8 years experience designing and building data processing/ETL pipelines
At least 8 years experience in Python and Spark or similar technologies
At least 8 years experience with SQL and relational databases
At least 8 years experience parsing flat files
8+ years development experience
Prior track record in a hyper-growth, high-tech company
Bachelor's degree or equivalent practical experience
Desired qualifications:
Experience working with Google Tensorflow
Experience with modern technology stacks
Experience with micro-services architectures
Experience with cloud platforms and SaaS solutions
Experience with agile/scrum development practices
Experience with test driven development, continuous integration, continuous deployment
Experience with Git, JIRA, Confluence
Experience with Google Compute, Firebase, and GKE
Experience with Docker
Desired behaviors:
Relentless restlessness to turn theory into practice and develop production worthy code that solves real-world customer problems
Determination to always learn and get better and never rest on ones laurels
Personable individual who enjoys working in a team-oriented environment
Comfort dealing with ambiguity in an environment where we build the plane as we fly it
Ability to work within constraints and to challenge the status quo
Ability to self-direct work and truly own the position in a hyper-growth environment
Compensation package:
Competitive compensation
Ownership opportunity through employee stock option plan
Health, dental, and vision insurance
4% company 401K matching vested immediately",5.0,"Uplink Talent Solutions
5.0","Austin, TX","Boston, MA",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
"Software Engineer, Mapping & Localization",-1,"Who We Are


Nuro is a robotics start-up whose mission is to accelerate the benefits of robotics for everyday life. We have an elite team of entrepreneurs and engineers, designers, and scientists. We believe AI and robotics are at the cusp of transforming daily life and we are dedicated to building meaningful products with this technology. Join us and play a critical role in our mission.

About the Role


Our robotics team is growing and we are looking for a Software Engineer to join our mapping and localization team. We're searching for an engineer with an advanced degree and experience building mapping and localization systems that work with real data in uncertain environments, and a strong desire to contribute to the future of robot navigation for logistics and transportation.

About the Work
Research, develop and implement algorithms to solve large-scale mapping and real-time localization problems for our fleet of self-driving delivery robots
Build well-tested C++ software and deploy on systems scaling from real-time embedded processors up to large distributed cloud-based infrastructure
Work in a small, focused team to deliver high-quality mapping and localization solutions that power the next generation of mobile robots
About You
Deep experience with state estimation, SLAM, nonlinear optimization, probabilistic filtering, and 3D/visual geometry
You have proven experience designing, implementing and extending novel algorithms
Strong C++ programming skills
In-depth knowledge of state-of-the-art 3D computer vision and machine learning techniques/methods
You possess experience working with real-time systems, large-scale scalable software architectures, and large data sets
Experience with multiple sensors (e.g. GPS, IMU, LIDAR, camera, odometry, radar)
PhD and/or Masters Degree in computer science, electrical engineering, robotics, or related field
Nuro is an equal opportunity employer and expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status.",4.4,"Nuro
4.4","Mountain View, CA","Mountain View, CA",201 to 500 employees,2016,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
